왕, king
미역국, Seaweed soup
시골, Rural area
억, One hundred million
수표, Check
사인, autograph
사인을 받다, To get autograph
생방송, Live broadcasting
대결, contest
경험하다, To experience
사업하다, To run a business
잘되다, To go well
안되다, Not to go well
줍다, To pick up
넣다, To put in
깨우다, To wake someone up
깨다 , To wake up
데이트하다, To date
생기다, To obtain/to get
대단하다, amazing
멋지다, Splendid/cool/great
아깝다, unfortunate
창피하다, ashamed
(money)+짜리, -worth
정말로, really
푹 , deeply
마지막, last
푹 쉬다, To rest up
(회사/학교)그만두다, To quit
소문, Rumor/gossip/word
